# label seq crop_x crop_y crop_w crop_h score eye_x eye_y dx
left 0099 312 203 197 71 0.905 410.3 232.1 98.3
left 0100 309 212 190 69 0.886 403.9 240.8 95.1
left 0101 315 209 197 71 0.906 413.6 238.4 98.3
left 0102 313 211 200 73 0.901 412.8 240.8 100.0
left 0103 319 211 200 73 0.901 419.2 241.6 100.0
left 0104 316 211 200 73 0.908 416.0 241.6 100.0
left 0105 314 210 200 73 0.906 414.4 240.0 100.0
left 0106 318 210 200 73 0.903 417.6 240.0 100.0
left 0107 314 210 200 73 0.899 414.4 240.0 100.0
left 0108 317 209 203 74 0.906 418.4 239.2 101.6
left 0109 319 211 200 73 0.905 419.2 240.8 100.0
left 0110 314 207 203 74 0.914 415.2 237.6 101.6
left 0111 307 211 190 69 0.906 402.3 239.2 95.1
left 0112 290 221 187 68 0.906 383.7 248.6 93.5
left 0113 284 227 184 67 0.899 376.5 254.9 91.9
left 0114 284 221 187 68 0.903 377.3 248.6 93.5
left 0115 280 225 190 69 0.899 374.9 253.4 95.1
left 0116 273 227 187 68 0.892 366.0 254.9 93.5
left 0117 284 228 174 63 0.890 370.8 254.1 87.1
left 0118 283 223 184 67 0.895 374.9 251.0 91.9
left 0119 282 223 187 68 0.893 375.7 251.0 93.5
left 0120 286 223 184 67 0.905 378.1 250.2 91.9
left 0121 281 221 190 69 0.903 376.5 249.4 95.1
left 0122 280 224 184 67 0.901 371.6 251.8 91.9
left 0123 279 224 187 68 0.895 372.5 252.6 93.5
left 0124 285 222 181 66 0.899 375.7 249.4 90.3
left 0125 284 221 184 67 0.903 376.5 248.6 91.9
left 0126 287 223 181 66 0.906 377.3 250.2 90.3
left 0127 285 225 181 66 0.905 375.7 251.8 90.3
left 0128 276 229 181 66 0.879 366.0 256.5 90.3
left 0129 271 221 193 70 0.897 367.6 250.2 96.7
left 0130 275 223 190 69 0.906 370.0 251.8 95.1
left 0131 277 225 187 68 0.899 370.8 253.4 93.5
left 0132 287 228 174 63 0.859 374.1 254.1 87.1
left 0133 289 222 174 63 0.877 375.7 247.9 87.1
left 0134 281 221 184 67 0.897 373.3 248.6 91.9
left 0135 280 223 181 66 0.884 370.8 250.2 90.3
left 0136 315 228 120 44 0.846 374.8 246.6 60.2
left 0137 309 227 136 49 0.815 377.4 247.2 67.8
left 0138 253 220 187 68 0.873 346.4 247.9 93.5
left 0139 233 220 197 71 0.908 331.1 249.4 98.3
left 0140 234 219 197 71 0.906 332.7 247.9 98.3
left 0141 259 215 187 68 0.899 352.8 242.6 93.5
left 0142 281 224 187 68 0.872 374.1 252.6 93.5
left 0143 298 223 174 63 0.903 385.4 249.4 87.1
left 0144 313 216 193 70 0.886 409.5 244.7 96.7
left 0145 328 214 193 70 0.906 424.0 243.1 96.7
left 0146 326 214 193 70 0.906 422.4 243.1 96.7
left 0147 323 214 190 69 0.905 418.4 242.4 95.1
left 0148 328 215 197 71 0.908 426.5 243.9 98.3
left 0149 318 216 187 68 0.899 411.1 243.9 93.5
left 0150 293 225 181 66 0.905 383.7 251.8 90.3
left 0151 267 220 203 74 0.905 368.4 251.0 101.6
left 0152 272 222 197 71 0.906 370.0 251.0 98.3
left 0153 272 223 190 69 0.881 366.8 251.8 95.1
left 0154 289 230 161 58 0.875 369.2 254.4 80.6
left 0155 285 223 187 68 0.906 378.9 251.0 93.5
left 0156 286 223 184 67 0.903 378.1 251.0 91.9
left 0157 286 225 184 67 0.899 378.1 252.6 91.9
left 0158 280 228 184 67 0.897 371.6 255.7 91.9
left 0159 276 228 187 68 0.897 369.2 255.7 93.5
left 0160 269 221 200 73 0.906 369.2 251.0 100.0
left 0161 282 222 187 68 0.910 375.7 250.2 93.5
left 0162 283 223 190 69 0.910 378.1 251.0 95.1
left 0163 285 224 187 68 0.899 378.9 251.8 93.5
left 0164 283 226 184 67 0.903 374.9 253.4 91.9
left 0165 286 225 177 64 0.895 374.9 251.8 88.7
left 0166 275 224 190 69 0.895 370.0 252.6 95.1
left 0167 281 225 184 67 0.890 373.3 252.6 91.9
left 0168 274 228 187 68 0.890 367.6 255.7 93.5
left 0169 286 221 184 67 0.895 378.1 248.6 91.9
left 0170 287 222 187 68 0.897 380.5 250.2 93.5
left 0171 285 224 187 68 0.897 378.9 252.6 93.5
left 0172 288 225 181 66 0.899 378.9 251.8 90.3
left 0173 286 225 177 64 0.897 374.9 251.8 88.7
left 0174 276 227 184 67 0.875 368.4 254.9 91.9
left 0175 284 225 181 66 0.886 374.1 251.8 90.3
left 0176 282 225 177 64 0.890 370.0 251.0 88.7
left 0177 280 226 184 67 0.897 371.6 253.4 91.9
left 0178 274 226 181 66 0.857 364.4 253.4 90.3
left 0179 283 223 184 67 0.895 374.9 251.0 91.9
left 0180 280 227 184 67 0.881 371.6 254.9 91.9
left 0181 281 223 190 69 0.864 376.5 251.0 95.1
left 0182 281 222 187 68 0.893 374.1 250.2 93.5
left 0183 282 219 181 66 0.888 372.5 246.3 90.3
left 0184 283 225 184 67 0.892 374.9 252.6 91.9
left 0185 280 223 181 66 0.875 370.8 250.2 90.3
left 0186 286 222 184 67 0.893 378.1 249.4 91.9
left 0187 281 225 184 67 0.882 373.3 252.6 91.9
left 0188 291 229 158 57 0.855 370.0 252.8 79.0
left 0189 282 225 181 66 0.890 372.5 252.6 90.3
left 0190 296 218 197 71 0.905 394.2 247.1 98.3
left 0191 286 215 216 78 0.912 394.2 247.1 108.0
left 0192 278 214 210 76 0.906 382.9 245.5 104.8
left 0193 281 213 210 76 0.914 386.2 244.7 104.8
left 0194 257 215 216 78 0.921 365.2 247.1 108.0
left 0195 264 215 203 74 0.908 365.2 245.5 101.6
left 0196 271 215 200 73 0.893 370.8 244.7 100.0
left 0197 270 217 203 74 0.908 371.6 247.1 101.6
left 0198 279 217 197 71 0.912 377.8 246.6 98.3
left 0199 269 217 200 73 0.908 369.2 247.1 100.0
left 0200 269 212 200 73 0.910 369.2 242.4 100.0
left 0201 263 212 200 73 0.906 362.8 242.4 100.0
left 0202 264 212 213 77 0.908 370.8 243.9 106.4
left 0203 254 211 216 78 0.903 362.0 243.1 108.0
left 0204 268 218 190 69 0.892 363.3 246.6 95.1
left 0205 260 212 210 76 0.906 365.2 243.1 104.8
left 0206 265 209 210 76 0.906 370.0 240.0 104.8
left 0207 264 213 216 78 0.906 371.6 245.5 108.0
left 0208 265 208 216 78 0.912 373.3 240.0 108.0
left 0209 264 207 213 77 0.905 370.8 239.2 106.4
left 0210 267 211 210 76 0.908 371.6 242.4 104.8
left 0211 267 209 203 74 0.905 368.4 240.0 101.6
left 0212 262 209 210 76 0.905 366.8 240.0 104.8
left 0213 261 209 213 77 0.906 367.6 240.8 106.4
left 0214 276 208 203 74 0.895 377.8 238.4 101.6
left 0215 267 213 210 76 0.906 371.6 244.7 104.8
left 0216 263 212 213 77 0.912 369.2 243.9 106.4
left 0217 263 212 210 76 0.906 368.4 243.1 104.8
left 0218 259 208 216 78 0.908 366.8 240.0 108.0
left 0219 264 209 216 78 0.912 371.6 240.8 108.0
left 0220 264 211 216 78 0.912 371.6 243.1 108.0
